"addr","column0","column6","column7","column8","column16"
"1600 Pennsylvania Ave NW, Washington, DC, 20502","1600 Pennsylvania Ave NW, Washington, DC, 20502","-77.036828","38.898646","<font size='-1'>1600 PENNSYLVANIA AVE NW WASHINGTON, DC 20502","<font size='-1'>DC"
"601 Whitehead St, Key West, FL, 33040","601 Whitehead St, Key West, FL, 33040","-81.803178","24.553979","<font size='-1'>601 WHITEHEAD ST KEY WEST, FL 33040","<font size='-1'>FL"
"4676 Admiralty Way, Marina del Rey, CA, 90292","4676 Admiralty Way, Marina del Rey, CA, 90292","-118.440389","33.980364","<font size='-1'>4676 ADMIRALTY WAY MARINA DEL REY, CA 90292","<font size='-1'>CA"
"600 Dexter Avenue, Montgomery, AL 36130","600 Dexter Avenue, Montgomery, AL 36130","-86.301955","32.377089","<font size='-1'>600 DEXTER AVE MONTGOMERY, AL 36104","<font size='-1'>AL"
"1700 West Washington, Phoenix, AZ 85007","1700 West Washington, Phoenix, AZ 85007","-112.095717","33.448642","<font size='-1'>1700 W WASHINGTON ST PHOENIX, AZ 85007","<font size='-1'>AZ"
"210 Capitol Avenue, Hartford, CT 06106","210 Capitol Avenue, Hartford, CT 06106","-72.682251","41.762733","<font size='-1'>210 CAPITOL AVE HARTFORD, CT 06106","<font size='-1'>CT"
"400 S. Monroe St., Tallahassee, FL 32399","400 S. Monroe St., Tallahassee, FL 32399","-84.280751","30.438749","<font size='-1'>400 S MONROE ST TALLAHASSEE, FL 32301","<font size='-1'>FL"
"4750 N. Meridian St., Indianapolis, IN 46208","4750 N. Meridian St., Indianapolis, IN 46208","-86.172000","39.819000","<font size='-1'>46208","<font"
"1007 East Grand Ave., Des Moines, IA 50319","1007 East Grand Ave., Des Moines, IA 50319","-93.604539","41.591875","<font size='-1'>1007 E GRAND AVE DES MOINES, IA 50309","<font size='-1'>IA"
"300 SW 10th Ave., Topeka, KS 66612","300 SW 10th Ave., Topeka, KS 66612","-95.678690","39.046885","<font size='-1'>300 SW 10TH AVE TOPEKA, KS 66604","<font size='-1'>KS"
