"tablename","argumentno","argumentname","semantictype","score","direction"
"geospatial1",0,"address","CT-Address",-1,"IN"
"geospatial1",1,"column2","CT-Street",0.339177546783333,"OUT"
"geospatial1",2,"column4","CT-Address",0.0638888888888889,"OUT"
"geospatial1",3,"column16","PR-Latitude",0.536111111111111,"OUT"
"geospatial1",4,"column34","PR-Longitude",0.62,"OUT"
"geospatial1",5,"column49","CT-CityState",0.321614583333333,"OUT"
"geospatial2",0,"locate","CT-Address",-1,"IN"
"geospatial2",1,"column0","CT-CityState",0.330505952380952,"OUT"
"geospatial2",2,"column8","PR-State-Abbr",0.858333333333333,"OUT"
"geospatial2",3,"column10","CT-Address",0.0618165784832452,"OUT"
"geospatial2",4,"column12","CT-Street",0.324120965572917,"OUT"
"geospatial2",5,"column19","PR-Latitude",0.536111111111111,"OUT"
"geospatial2",6,"column23","PR-Longitude",0.213333333333333,"OUT"
"weather3",0,"query","PR-ZipCode5Digit",-1,"IN"
"weather3",1,"column58","PR-Humidity",0.65,"OUT"
"weather3",2,"column414","PR-Sky",0.325,"OUT"
"weather3",3,"column527","CT-TemperatureF",0.270356233333333,"OUT"
"weather3",4,"column605","CT-VisibilityFeet",0.25,"OUT"
"weather3",5,"column2202","CT-PressureInches",0.214285714285714,"OUT"
"weather3",6,"column2516","PR-WindDirection",0.958333333333333,"OUT"
"weather4",0,"query","PR-ZipCode5Digit",-1,"IN"
"weather4",1,"column59","PR-Humidity",0.683333333333333,"OUT"
"weather4",2,"column413","PR-Sky",0.325,"OUT"
"weather4",3,"column526","CT-TemperatureF",0.270356233333333,"OUT"
"weather4",4,"column606","CT-VisibilityFeet",0.25,"OUT"
"weather4",5,"column1683","PR-WindDirection",0.976190476190476,"OUT"
"weather4",6,"column2259","CT-PressureInches",0.214285714285714,"OUT"
"weather5",0,"query","PR-ZipCode5Digit",-1,"IN"
"weather5",1,"column59","PR-Humidity",0.683333333333333,"OUT"
"weather5",2,"column418","PR-Sky",0.325,"OUT"
"weather5",3,"column531","CT-TemperatureF",0.270356233333333,"OUT"
"weather5",4,"column612","CT-VisibilityFeet",0.25,"OUT"
"weather5",5,"column2267","CT-PressureInches",0.214285714285714,"OUT"
"weather5",6,"column2591","PR-WindDirection",1,"OUT"
"weather6",0,"query","PR-ZipCode5Digit",-1,"IN"
"weather6",1,"column58","PR-Humidity",0.683333333333333,"OUT"
"weather6",2,"column417","PR-Sky",0.325,"OUT"
"weather6",3,"column530","CT-TemperatureF",0.270356233333333,"OUT"
"weather6",4,"column611","CT-VisibilityFeet",0.25,"OUT"
"weather6",5,"column2266","CT-PressureInches",0.214285714285714,"OUT"
"weather6",6,"column2709","PR-WindDirection",1,"OUT"
"weather7",0,"Name","PR-ZipCode5Digit",-1,"IN"
"weather7",1,"column16","CT-TemperatureF",0.270356233333333,"OUT"
"weather7",2,"column24","PR-Humidity",0.733333333333333,"OUT"
"weather7",3,"column25","PR-WindDirection",0.20625,"OUT"
"weather7",4,"column31","CT-VisibilityMiles",0.112331534285714,"OUT"
"weather7",5,"column176","PR-Sky",0.5,"OUT"
"weather8",0,"pands","PR-ZipCode5Digit",-1,"IN"
"weather8",1,"column34","PR-Sky",0.275,"OUT"
"weather8",2,"column38","PR-Humidity",0.733333333333333,"OUT"
"weather8",3,"column40","CT-PressureInches",0.125,"OUT"
"weather8",4,"column68","CT-TemperatureF",0.360474977777778,"OUT"
"weather8",5,"column91","PR-WindDirection",0.833333333333333,"OUT"
